"Day","Year A","Year B","Year C"
"Proper 28","Zeph 1:7,12-18|Ps 90:1-12(13-17)|1 Thess 5:1-10|Matt 25:14-30","Dan 12:1-4a(4b-13)|Ps 16|Heb 10:31-39|Mark 13:14-23","Mal 3:13-4:6|Ps 98|2 Thess 3:6-16|Luke 21:5-19"
"Proper 29: Christ the King","Ezek 34:11-20|Ps 95|1 Cor 15:20-28|Matt 25:31-46","Dan 7:9-14|Ps 93|Rev 1:1-8|John 18:33-37","Jer 23:1-6|Ps 46|Col 1:11-20|Luke 23:35-43"

"Ash Wednesday","Joel 2:1-2,12-17 or Isa 58:1-12|Ps 103 or 103:8-14|2 Cor 5:20-6:10|Matt 6:1-6,16-21","Joel 2:1-2,12-17 or Isa 58:1-12|Ps 103 or 103:8-14|2 Cor 5:20-6:10|Matt 6:1-6,16-21","Joel 2:1-2,12-17 or Isa 58:1-12|Ps 103 or 103:8-14|2 Cor 5:20-6:10|Matt 6:1-6,16-21"

"Palm Sunday","Matt 21:1-11|Ps 118:19-29|Isa 52:13-53:12|Ps 22:1-22v or Ps 22:1-11v or Ps 31:10-18v|Phil 2:5-11|Matt(26:36-75)27:1-54(55-66)","Mark 11:1-11a|Ps 118:19-29|Isa 52:13-53:12|Ps 22:1-22v or Ps 22:1-11v or Ps 31:10-18v|Phil 2:5-11|Mark(14:32-72)15:1-39(40-47)","Luke 19:29-40|Ps 118:19-29|Isa 52:13-53:12|Ps 22:1-22v or Ps 22:1-11v or Ps 31:10-18v|Phil 2:5-11|Luke(22:39-71)23:1-49(50-56)"
"Monday of Holy Week","Isa 42:1-9|Ps 36:5-10|Heb 11:39-12:3|John 12:1-11 or Mark 14:3-9","Isa 42:1-9|Ps 36:5-10|Heb 11:39-12:3|John 12:1-11 or Mark 14:3-9","Isa 42:1-9|Ps 36:5-10|Heb 11:39-12:3|John 12:1-11 or Mark 14:3-9"
"Tuesday of Holy Week","Isa 49:1-6|Ps 71:1-11v|1 Cor 1:18-31|John 12:37-38,42-50 or Mark 11:15-19","Isa 49:1-6|Ps 71:1-11v|1 Cor 1:18-31|John 12:37-38,42-50 or Mark 11:15-19","Isa 49:1-6|Ps 71:1-11v|1 Cor 1:18-31|John 12:37-38,42-50 or Mark 11:15-19"
"Wednesday of Holy Week","Isa 50:4-9|Ps 69:6-14,21-22v|Heb 9:11-28|Matt 26:1-5,14-25","Isa 50:4-9|Ps 69:6-14,21-22v|Heb 9:11-28|Matt 26:1-5,14-25","Isa 50:4-9|Ps 69:6-14,21-22v|Heb 9:11-28|Matt 26:1-5,14-25"
"Maundy Thursday","Ex 12:1-14|Ps 78:15-26v|1 Cor 11:23-26(27-34)|John 13:1-15 or Luke 22:14-30","Ex 12:1-14|Ps 78:15-26v|1 Cor 11:23-26(27-34)|John 13:1-15 or Luke 22:14-30","Ex 12:1-14|Ps 78:15-26v|1 Cor 11:23-26(27-34)|John 13:1-15 or Luke 22:14-30"
